domain,group,id,keywords,path,risk,title
file-processing,software-engineering,031-file-processing,software-engineering file-processing File Processing discover architect implement verify release operate,library/domains/software-engineering/031-file-processing,HIGH,File Processing
browser-automation,software-engineering,032-browser-automation,software-engineering browser-automation Browser Automation discover architect implement verify release operate,library/domains/software-engineering/032-browser-automation,HIGH,Browser Automation
llm-applications,ai-data,033-llm-applications,ai-data llm-applications Llm Applications discover design build evaluate deploy monitor,library/domains/ai-data/033-llm-applications,HIGH,Llm Applications
agent-architecture,ai-data,034-agent-architecture,ai-data agent-architecture Agent Architecture discover design build evaluate deploy monitor,library/domains/ai-data/034-agent-architecture,HIGH,Agent Architecture
rag-systems,ai-data,035-rag-systems,ai-data rag-systems Rag Systems discover design build evaluate deploy monitor,library/domains/ai-data/035-rag-systems,HIGH,Rag Systems
embeddings,ai-data,036-embeddings,ai-data embeddings Embeddings discover design build evaluate deploy monitor,library/domains/ai-data/036-embeddings,HIGH,Embeddings
reranking,ai-data,037-reranking,ai-data reranking Reranking discover design build evaluate deploy monitor,library/domains/ai-data/037-reranking,HIGH,Reranking
prompt-engineering,ai-data,038-prompt-engineering,ai-data prompt-engineering Prompt Engineering discover design build evaluate deploy monitor,library/domains/ai-data/038-prompt-engineering,HIGH,Prompt Engineering
model-evaluation,ai-data,039-model-evaluation,ai-data model-evaluation Model Evaluation discover design build evaluate deploy monitor,library/domains/ai-data/039-model-evaluation,HIGH,Model Evaluation
model-routing,ai-data,040-model-routing,ai-data model-routing Model Routing discover design build evaluate deploy monitor,library/domains/ai-data/040-model-routing,HIGH,Model Routing
synthetic-data,ai-data,041-synthetic-data,ai-data synthetic-data Synthetic Data discover design build evaluate deploy monitor,library/domains/ai-data/041-synthetic-data,HIGH,Synthetic Data
fine-tuning,ai-data,042-fine-tuning,ai-data fine-tuning Fine Tuning discover design build evaluate deploy monitor,library/domains/ai-data/042-fine-tuning,HIGH,Fine Tuning
multimodal-ai,ai-data,043-multimodal-ai,ai-data multimodal-ai Multimodal Ai discover design build evaluate deploy monitor,library/domains/ai-data/043-multimodal-ai,HIGH,Multimodal Ai
vision-systems,ai-data,044-vision-systems,ai-data vision-systems Vision Systems discover design build evaluate deploy monitor,library/domains/ai-data/044-vision-systems,HIGH,Vision Systems
speech-systems,ai-data,045-speech-systems,ai-data speech-systems Speech Systems discover design build evaluate deploy monitor,library/domains/ai-data/045-speech-systems,HIGH,Speech Systems
document-ai,ai-data,046-document-ai,ai-data document-ai Document Ai discover design build evaluate deploy monitor,library/domains/ai-data/046-document-ai,HIGH,Document Ai
recommendation-systems,ai-data,047-recommendation-systems,ai-data recommendation-systems Recommendation Systems discover design build evaluate deploy monitor,library/domains/ai-data/047-recommendation-systems,HIGH,Recommendation Systems
forecasting,ai-data,048-forecasting,ai-data forecasting Forecasting discover design build evaluate deploy monitor,library/domains/ai-data/048-forecasting,HIGH,Forecasting
application-security,security-privacy,049-application-security,security-privacy application-security Application Security scope model control test respond improve,library/domains/security-privacy/049-application-security,CRITICAL,Application Security
cloud-security,security-privacy,050-cloud-security,security-privacy cloud-security Cloud Security scope model control test respond improve,library/domains/security-privacy/050-cloud-security,CRITICAL,Cloud Security
identity-security,security-privacy,051-identity-security,security-privacy identity-security Identity Security scope model control test respond improve,library/domains/security-privacy/051-identity-security,CRITICAL,Identity Security
secrets-management,security-privacy,052-secrets-management,security-privacy secrets-management Secrets Management scope model control test respond improve,library/domains/security-privacy/052-secrets-management,CRITICAL,Secrets Management
threat-modeling,security-privacy,053-threat-modeling,security-privacy threat-modeling Threat Modeling scope model control test respond improve,library/domains/security-privacy/053-threat-modeling,CRITICAL,Threat Modeling
incident-response,security-privacy,054-incident-response,security-privacy incident-response Incident Response scope model control test respond improve,library/domains/security-privacy/054-incident-response,CRITICAL,Incident Response
data-privacy,security-privacy,055-data-privacy,security-privacy data-privacy Data Privacy scope model control test respond improve,library/domains/security-privacy/055-data-privacy,CRITICAL,Data Privacy
prompt-injection,security-privacy,056-prompt-injection,security-privacy prompt-injection Prompt Injection scope model control test respond improve,library/domains/security-privacy/056-prompt-injection,CRITICAL,Prompt Injection
supply-chain-security,security-privacy,057-supply-chain-security,security-privacy supply-chain-security Supply Chain Security scope model control test respond improve,library/domains/security-privacy/057-supply-chain-security,CRITICAL,Supply Chain Security
vulnerability-management,security-privacy,058-vulnerability-management,security-privacy vulnerability-management Vulnerability Management scope model control test respond improve,library/domains/security-privacy/058-vulnerability-management,CRITICAL,Vulnerability Management
security-logging,security-privacy,059-security-logging,security-privacy security-logging Security Logging scope model control test respond improve,library/domains/security-privacy/059-security-logging,CRITICAL,Security Logging
abuse-prevention,security-privacy,060-abuse-prevention,security-privacy abuse-prevention Abuse Prevention scope model control test respond improve,library/domains/security-privacy/060-abuse-prevention,CRITICAL,Abuse Prevention
fraud-detection,security-privacy,061-fraud-detection,security-privacy fraud-detection Fraud Detection scope model control test respond improve,library/domains/security-privacy/061-fraud-detection,CRITICAL,Fraud Detection
payments-security,security-privacy,062-payments-security,security-privacy payments-security Payments Security scope model control test respond improve,library/domains/security-privacy/062-payments-security,CRITICAL,Payments Security
tenant-isolation,security-privacy,063-tenant-isolation,security-privacy tenant-isolation Tenant Isolation scope model control test respond improve,library/domains/security-privacy/063-tenant-isolation,CRITICAL,Tenant Isolation
secure-deployment,security-privacy,064-secure-deployment,security-privacy secure-deployment Secure Deployment scope model control test respond improve,library/domains/security-privacy/064-secure-deployment,CRITICAL,Secure Deployment
product-strategy,product-design,065-product-strategy,product-design product-strategy Product Strategy discover define design test launch learn,library/domains/product-design/065-product-strategy,MEDIUM,Product Strategy
product-discovery,product-design,066-product-discovery,product-design product-discovery Product Discovery discover define design test launch learn,library/domains/product-design/066-product-discovery,MEDIUM,Product Discovery
user-research,product-design,067-user-research,product-design user-research User Research discover define design test launch learn,library/domains/product-design/067-user-research,MEDIUM,User Research
ux-design,product-design,068-ux-design,product-design ux-design Ux Design discover define design test launch learn,library/domains/product-design/068-ux-design,MEDIUM,Ux Design
design-systems,product-design,069-design-systems,product-design design-systems Design Systems discover define design test launch learn,library/domains/product-design/069-design-systems,MEDIUM,Design Systems
accessibility,product-design,070-accessibility,product-design accessibility Accessibility discover define design test launch learn,library/domains/product-design/070-accessibility,MEDIUM,Accessibility
onboarding,product-design,071-onboarding,product-design onboarding Onboarding discover define design test launch learn,library/domains/product-design/071-onboarding,MEDIUM,Onboarding
activation,product-design,072-activation,product-design activation Activation discover define design test launch learn,library/domains/product-design/072-activation,MEDIUM,Activation
retention,product-design,073-retention,product-design retention Retention discover define design test launch learn,library/domains/product-design/073-retention,MEDIUM,Retention
experimentation,product-design,074-experimentation,product-design experimentation Experimentation discover define design test launch learn,library/domains/product-design/074-experimentation,MEDIUM,Experimentation
analytics,product-design,075-analytics,product-design analytics Analytics discover define design test launch learn,library/domains/product-design/075-analytics,MEDIUM,Analytics
roadmapping,product-design,076-roadmapping,product-design roadmapping Roadmapping discover define design test launch learn,library/domains/product-design/076-roadmapping,MEDIUM,Roadmapping
pricing-design,product-design,077-pricing-design,product-design pricing-design Pricing Design discover define design test launch learn,library/domains/product-design/077-pricing-design,MEDIUM,Pricing Design
enterprise-product,product-design,078-enterprise-product,product-design enterprise-product Enterprise Product discover define design test launch learn,library/domains/product-design/078-enterprise-product,MEDIUM,Enterprise Product
developer-experience,product-design,079-developer-experience,product-design developer-experience Developer Experience discover define design test launch learn,library/domains/product-design/079-developer-experience,MEDIUM,Developer Experience
content-design,product-design,080-content-design,product-design content-design Content Design discover define design test launch learn,library/domains/product-design/080-content-design,MEDIUM,Content Design
market-research,commercial-growth,081-market-research,commercial-growth market-research Market Research research segment offer activate measure retain,library/domains/commercial-growth/081-market-research,HIGH,Market Research
buyer-intelligence,commercial-growth,082-buyer-intelligence,commercial-growth buyer-intelligence Buyer Intelligence research segment offer activate measure retain,library/domains/commercial-growth/082-buyer-intelligence,HIGH,Buyer Intelligence
offer-design,commercial-growth,083-offer-design,commercial-growth offer-design Offer Design research segment offer activate measure retain,library/domains/commercial-growth/083-offer-design,HIGH,Offer Design
sales-operations,commercial-growth,084-sales-operations,commercial-growth sales-operations Sales Operations research segment offer activate measure retain,library/domains/commercial-growth/084-sales-operations,HIGH,Sales Operations
outbound-systems,commercial-growth,085-outbound-systems,commercial-growth outbound-systems Outbound Systems research segment offer activate measure retain,library/domains/commercial-growth/085-outbound-systems,HIGH,Outbound Systems
inbound-growth,commercial-growth,086-inbound-growth,commercial-growth inbound-growth Inbound Growth research segment offer activate measure retain,library/domains/commercial-growth/086-inbound-growth,HIGH,Inbound Growth
partnerships,commercial-growth,087-partnerships,commercial-growth partnerships Partnerships research segment offer activate measure retain,library/domains/commercial-growth/087-partnerships,HIGH,Partnerships
channels,commercial-growth,088-channels,commercial-growth channels Channels research segment offer activate measure retain,library/domains/commercial-growth/088-channels,HIGH,Channels
seo,commercial-growth,089-seo,commercial-growth seo Seo research segment offer activate measure retain,library/domains/commercial-growth/089-seo,HIGH,Seo
content-marketing,commercial-growth,090-content-marketing,commercial-growth content-marketing Content Marketing research segment offer activate measure retain,library/domains/commercial-growth/090-content-marketing,HIGH,Content Marketing
lifecycle-marketing,commercial-growth,091-lifecycle-marketing,commercial-growth lifecycle-marketing Lifecycle Marketing research segment offer activate measure retain,library/domains/commercial-growth/091-lifecycle-marketing,HIGH,Lifecycle Marketing
customer-success,commercial-growth,092-customer-success,commercial-growth customer-success Customer Success research segment offer activate measure retain,library/domains/commercial-growth/092-customer-success,HIGH,Customer Success
support-operations,commercial-growth,093-support-operations,commercial-growth support-operations Support Operations research segment offer activate measure retain,library/domains/commercial-growth/093-support-operations,HIGH,Support Operations
revenue-operations,commercial-growth,094-revenue-operations,commercial-growth revenue-operations Revenue Operations research segment offer activate measure retain,library/domains/commercial-growth/094-revenue-operations,HIGH,Revenue Operations
account-management,commercial-growth,095-account-management,commercial-growth account-management Account Management research segment offer activate measure retain,library/domains/commercial-growth/095-account-management,HIGH,Account Management
procurement-sales,commercial-growth,096-procurement-sales,commercial-growth procurement-sales Procurement Sales research segment offer activate measure retain,library/domains/commercial-growth/096-procurement-sales,HIGH,Procurement Sales
financial-modeling,business-operations,097-financial-modeling,business-operations financial-modeling Financial Modeling assess design execute control review improve,library/domains/business-operations/097-financial-modeling,HIGH,Financial Modeling
budgeting,business-operations,098-budgeting,business-operations budgeting Budgeting assess design execute control review improve,library/domains/business-operations/098-budgeting,HIGH,Budgeting
cash-management,business-operations,099-cash-management,business-operations cash-management Cash Management assess design execute control review improve,library/domains/business-operations/099-cash-management,HIGH,Cash Management
vendor-management,business-operations,100-vendor-management,business-operations vendor-management Vendor Management assess design execute control review improve,library/domains/business-operations/100-vendor-management,HIGH,Vendor Management
procurement,business-operations,101-procurement,business-operations procurement Procurement assess design execute control review improve,library/domains/business-operations/101-procurement,HIGH,Procurement
risk-management,business-operations,102-risk-management,business-operations risk-management Risk Management assess design execute control review improve,library/domains/business-operations/102-risk-management,HIGH,Risk Management
business-continuity,business-operations,103-business-continuity,business-operations business-continuity Business Continuity assess design execute control review improve,library/domains/business-operations/103-business-continuity,HIGH,Business Continuity
operations-design,business-operations,104-operations-design,business-operations operations-design Operations Design assess design execute control review improve,library/domains/business-operations/104-operations-design,HIGH,Operations Design
project-management,business-operations,105-project-management,business-operations project-management Project Management assess design execute control review improve,library/domains/business-operations/105-project-management,HIGH,Project Management
program-management,business-operations,106-program-management,business-operations program-management Program Management assess design execute control review improve,library/domains/business-operations/106-program-management,HIGH,Program Management
knowledge-management,business-operations,107-knowledge-management,business-operations knowledge-management Knowledge Management assess design execute control review improve,library/domains/business-operations/107-knowledge-management,HIGH,Knowledge Management
quality-management,business-operations,108-quality-management,business-operations quality-management Quality Management assess design execute control review improve,library/domains/business-operations/108-quality-management,HIGH,Quality Management
hiring-systems,business-operations,109-hiring-systems,business-operations hiring-systems Hiring Systems assess design execute control review improve,library/domains/business-operations/109-hiring-systems,HIGH,Hiring Systems
people-operations,business-operations,110-people-operations,business-operations people-operations People Operations assess design execute control review improve,library/domains/business-operations/110-people-operations,HIGH,People Operations
training,business-operations,111-training,business-operations training Training assess design execute control review improve,library/domains/business-operations/111-training,HIGH,Training
executive-reporting,business-operations,112-executive-reporting,business-operations executive-reporting Executive Reporting assess design execute control review improve,library/domains/business-operations/112-executive-reporting,HIGH,Executive Reporting
contract-preparation,legal-compliance-prep,113-contract-preparation,legal-compliance-prep contract-preparation Contract Preparation issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/113-contract-preparation,CRITICAL,Contract Preparation
privacy-compliance-prep,legal-compliance-prep,114-privacy-compliance-prep,legal-compliance-prep privacy-compliance-prep Privacy Compliance Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/114-privacy-compliance-prep,CRITICAL,Privacy Compliance Prep
security-compliance-prep,legal-compliance-prep,115-security-compliance-prep,legal-compliance-prep security-compliance-prep Security Compliance Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/115-security-compliance-prep,CRITICAL,Security Compliance Prep
tax-research-prep,legal-compliance-prep,116-tax-research-prep,legal-compliance-prep tax-research-prep Tax Research Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/116-tax-research-prep,CRITICAL,Tax Research Prep
employment-law-prep,legal-compliance-prep,117-employment-law-prep,legal-compliance-prep employment-law-prep Employment Law Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/117-employment-law-prep,CRITICAL,Employment Law Prep
ip-research-prep,legal-compliance-prep,118-ip-research-prep,legal-compliance-prep ip-research-prep Ip Research Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/118-ip-research-prep,CRITICAL,Ip Research Prep
regulatory-research-prep,legal-compliance-prep,119-regulatory-research-prep,legal-compliance-prep regulatory-research-prep Regulatory Research Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/119-regulatory-research-prep,CRITICAL,Regulatory Research Prep
vendor-due-diligence,legal-compliance-prep,120-vendor-due-diligence,legal-compliance-prep vendor-due-diligence Vendor Due Diligence issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/120-vendor-due-diligence,CRITICAL,Vendor Due Diligence
data-processing-agreements,legal-compliance-prep,121-data-processing-agreements,legal-compliance-prep data-processing-agreements Data Processing Agreements issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/121-data-processing-agreements,CRITICAL,Data Processing Agreements
terms-policy-prep,legal-compliance-prep,122-terms-policy-prep,legal-compliance-prep terms-policy-prep Terms Policy Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/122-terms-policy-prep,CRITICAL,Terms Policy Prep
audit-readiness,legal-compliance-prep,123-audit-readiness,legal-compliance-prep audit-readiness Audit Readiness issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/123-audit-readiness,CRITICAL,Audit Readiness
record-retention,legal-compliance-prep,124-record-retention,legal-compliance-prep record-retention Record Retention issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/124-record-retention,CRITICAL,Record Retention
international-expansion-prep,legal-compliance-prep,125-international-expansion-prep,legal-compliance-prep international-expansion-prep International Expansion Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/125-international-expansion-prep,CRITICAL,International Expansion Prep
payments-regulation-prep,legal-compliance-prep,126-payments-regulation-prep,legal-compliance-prep payments-regulation-prep Payments Regulation Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/126-payments-regulation-prep,CRITICAL,Payments Regulation Prep
consumer-protection-prep,legal-compliance-prep,127-consumer-protection-prep,legal-compliance-prep consumer-protection-prep Consumer Protection Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/127-consumer-protection-prep,CRITICAL,Consumer Protection Prep
ai-governance-prep,legal-compliance-prep,128-ai-governance-prep,legal-compliance-prep ai-governance-prep Ai Governance Prep issue-spot research classify prepare review retain,library/domains/legal-compliance-prep/128-ai-governance-prep,CRITICAL,Ai Governance Prep
web-research,research-knowledge,129-web-research,research-knowledge web-research Web Research frame search extract verify synthesize publish,library/domains/research-knowledge/129-web-research,MEDIUM,Web Research
scientific-literature,research-knowledge,130-scientific-literature,research-knowledge scientific-literature Scientific Literature frame search extract verify synthesize publish,library/domains/research-knowledge/130-scientific-literature,MEDIUM,Scientific Literature
competitive-intelligence,research-knowledge,131-competitive-intelligence,research-knowledge competitive-intelligence Competitive Intelligence frame search extract verify synthesize publish,library/domains/research-knowledge/131-competitive-intelligence,MEDIUM,Competitive Intelligence
source-verification,research-knowledge,132-source-verification,research-knowledge source-verification Source Verification frame search extract verify synthesize publish,library/domains/research-knowledge/132-source-verification,MEDIUM,Source Verification
evidence-synthesis,research-knowledge,133-evidence-synthesis,research-knowledge evidence-synthesis Evidence Synthesis frame search extract verify synthesize publish,library/domains/research-knowledge/133-evidence-synthesis,MEDIUM,Evidence Synthesis
survey-design,research-knowledge,134-survey-design,research-knowledge survey-design Survey Design frame search extract verify synthesize publish,library/domains/research-knowledge/134-survey-design,MEDIUM,Survey Design
qualitative-analysis,research-knowledge,135-qualitative-analysis,research-knowledge qualitative-analysis Qualitative Analysis frame search extract verify synthesize publish,library/domains/research-knowledge/135-qualitative-analysis,MEDIUM,Qualitative Analysis
quantitative-analysis,research-knowledge,136-quantitative-analysis,research-knowledge quantitative-analysis Quantitative Analysis frame search extract verify synthesize publish,library/domains/research-knowledge/136-quantitative-analysis,MEDIUM,Quantitative Analysis
knowledge-graphs,research-knowledge,137-knowledge-graphs,research-knowledge knowledge-graphs Knowledge Graphs frame search extract verify synthesize publish,library/domains/research-knowledge/137-knowledge-graphs,MEDIUM,Knowledge Graphs
taxonomy-design,research-knowledge,138-taxonomy-design,research-knowledge taxonomy-design Taxonomy Design frame search extract verify synthesize publish,library/domains/research-knowledge/138-taxonomy-design,MEDIUM,Taxonomy Design
document-synthesis,research-knowledge,139-document-synthesis,research-knowledge document-synthesis Document Synthesis frame search extract verify synthesize publish,library/domains/research-knowledge/139-document-synthesis,MEDIUM,Document Synthesis
fact-checking,research-knowledge,140-fact-checking,research-knowledge fact-checking Fact Checking frame search extract verify synthesize publish,library/domains/research-knowledge/140-fact-checking,MEDIUM,Fact Checking
historical-analysis,research-knowledge,141-historical-analysis,research-knowledge historical-analysis Historical Analysis frame search extract verify synthesize publish,library/domains/research-knowledge/141-historical-analysis,MEDIUM,Historical Analysis
policy-research,research-knowledge,142-policy-research,research-knowledge policy-research Policy Research frame search extract verify synthesize publish,library/domains/research-knowledge/142-policy-research,MEDIUM,Policy Research
technical-writing,research-knowledge,143-technical-writing,research-knowledge technical-writing Technical Writing frame search extract verify synthesize publish,library/domains/research-knowledge/143-technical-writing,MEDIUM,Technical Writing
decision-memos,research-knowledge,144-decision-memos,research-knowledge decision-memos Decision Memos frame search extract verify synthesize publish,library/domains/research-knowledge/144-decision-memos,MEDIUM,Decision Memos
