domain,group,name,path
channels,commercial-growth,apex-channels-specialist,library/agents/commercial-growth/apex-channels-specialist
seo,commercial-growth,apex-seo-specialist,library/agents/commercial-growth/apex-seo-specialist
content-marketing,commercial-growth,apex-content-marketing-specialist,library/agents/commercial-growth/apex-content-marketing-specialist
lifecycle-marketing,commercial-growth,apex-lifecycle-marketing-specialist,library/agents/commercial-growth/apex-lifecycle-marketing-specialist
customer-success,commercial-growth,apex-customer-success-specialist,library/agents/commercial-growth/apex-customer-success-specialist
support-operations,commercial-growth,apex-support-operations-specialist,library/agents/commercial-growth/apex-support-operations-specialist
revenue-operations,commercial-growth,apex-revenue-operations-specialist,library/agents/commercial-growth/apex-revenue-operations-specialist
account-management,commercial-growth,apex-account-management-specialist,library/agents/commercial-growth/apex-account-management-specialist
procurement-sales,commercial-growth,apex-procurement-sales-specialist,library/agents/commercial-growth/apex-procurement-sales-specialist
financial-modeling,business-operations,apex-financial-modeling-specialist,library/agents/business-operations/apex-financial-modeling-specialist
budgeting,business-operations,apex-budgeting-specialist,library/agents/business-operations/apex-budgeting-specialist
cash-management,business-operations,apex-cash-management-specialist,library/agents/business-operations/apex-cash-management-specialist
vendor-management,business-operations,apex-vendor-management-specialist,library/agents/business-operations/apex-vendor-management-specialist
procurement,business-operations,apex-procurement-specialist,library/agents/business-operations/apex-procurement-specialist
risk-management,business-operations,apex-risk-management-specialist,library/agents/business-operations/apex-risk-management-specialist
business-continuity,business-operations,apex-business-continuity-specialist,library/agents/business-operations/apex-business-continuity-specialist
operations-design,business-operations,apex-operations-design-specialist,library/agents/business-operations/apex-operations-design-specialist
project-management,business-operations,apex-project-management-specialist,library/agents/business-operations/apex-project-management-specialist
program-management,business-operations,apex-program-management-specialist,library/agents/business-operations/apex-program-management-specialist
knowledge-management,business-operations,apex-knowledge-management-specialist,library/agents/business-operations/apex-knowledge-management-specialist
quality-management,business-operations,apex-quality-management-specialist,library/agents/business-operations/apex-quality-management-specialist
hiring-systems,business-operations,apex-hiring-systems-specialist,library/agents/business-operations/apex-hiring-systems-specialist
people-operations,business-operations,apex-people-operations-specialist,library/agents/business-operations/apex-people-operations-specialist
training,business-operations,apex-training-specialist,library/agents/business-operations/apex-training-specialist
executive-reporting,business-operations,apex-executive-reporting-specialist,library/agents/business-operations/apex-executive-reporting-specialist
contract-preparation,legal-compliance-prep,apex-contract-preparation-specialist,library/agents/legal-compliance-prep/apex-contract-preparation-specialist
privacy-compliance-prep,legal-compliance-prep,apex-privacy-compliance-prep-specialist,library/agents/legal-compliance-prep/apex-privacy-compliance-prep-specialist
security-compliance-prep,legal-compliance-prep,apex-security-compliance-prep-specialist,library/agents/legal-compliance-prep/apex-security-compliance-prep-specialist
tax-research-prep,legal-compliance-prep,apex-tax-research-prep-specialist,library/agents/legal-compliance-prep/apex-tax-research-prep-specialist
employment-law-prep,legal-compliance-prep,apex-employment-law-prep-specialist,library/agents/legal-compliance-prep/apex-employment-law-prep-specialist
ip-research-prep,legal-compliance-prep,apex-ip-research-prep-specialist,library/agents/legal-compliance-prep/apex-ip-research-prep-specialist
regulatory-research-prep,legal-compliance-prep,apex-regulatory-research-prep-specialist,library/agents/legal-compliance-prep/apex-regulatory-research-prep-specialist
vendor-due-diligence,legal-compliance-prep,apex-vendor-due-diligence-specialist,library/agents/legal-compliance-prep/apex-vendor-due-diligence-specialist
data-processing-agreements,legal-compliance-prep,apex-data-processing-agreements-specialist,library/agents/legal-compliance-prep/apex-data-processing-agreements-specialist
terms-policy-prep,legal-compliance-prep,apex-terms-policy-prep-specialist,library/agents/legal-compliance-prep/apex-terms-policy-prep-specialist
audit-readiness,legal-compliance-prep,apex-audit-readiness-specialist,library/agents/legal-compliance-prep/apex-audit-readiness-specialist
record-retention,legal-compliance-prep,apex-record-retention-specialist,library/agents/legal-compliance-prep/apex-record-retention-specialist
international-expansion-prep,legal-compliance-prep,apex-international-expansion-prep-specialist,library/agents/legal-compliance-prep/apex-international-expansion-prep-specialist
payments-regulation-prep,legal-compliance-prep,apex-payments-regulation-prep-specialist,library/agents/legal-compliance-prep/apex-payments-regulation-prep-specialist
consumer-protection-prep,legal-compliance-prep,apex-consumer-protection-prep-specialist,library/agents/legal-compliance-prep/apex-consumer-protection-prep-specialist
ai-governance-prep,legal-compliance-prep,apex-ai-governance-prep-specialist,library/agents/legal-compliance-prep/apex-ai-governance-prep-specialist
web-research,research-knowledge,apex-web-research-specialist,library/agents/research-knowledge/apex-web-research-specialist
scientific-literature,research-knowledge,apex-scientific-literature-specialist,library/agents/research-knowledge/apex-scientific-literature-specialist
competitive-intelligence,research-knowledge,apex-competitive-intelligence-specialist,library/agents/research-knowledge/apex-competitive-intelligence-specialist
source-verification,research-knowledge,apex-source-verification-specialist,library/agents/research-knowledge/apex-source-verification-specialist
evidence-synthesis,research-knowledge,apex-evidence-synthesis-specialist,library/agents/research-knowledge/apex-evidence-synthesis-specialist
survey-design,research-knowledge,apex-survey-design-specialist,library/agents/research-knowledge/apex-survey-design-specialist
qualitative-analysis,research-knowledge,apex-qualitative-analysis-specialist,library/agents/research-knowledge/apex-qualitative-analysis-specialist
quantitative-analysis,research-knowledge,apex-quantitative-analysis-specialist,library/agents/research-knowledge/apex-quantitative-analysis-specialist
knowledge-graphs,research-knowledge,apex-knowledge-graphs-specialist,library/agents/research-knowledge/apex-knowledge-graphs-specialist
taxonomy-design,research-knowledge,apex-taxonomy-design-specialist,library/agents/research-knowledge/apex-taxonomy-design-specialist
document-synthesis,research-knowledge,apex-document-synthesis-specialist,library/agents/research-knowledge/apex-document-synthesis-specialist
fact-checking,research-knowledge,apex-fact-checking-specialist,library/agents/research-knowledge/apex-fact-checking-specialist
historical-analysis,research-knowledge,apex-historical-analysis-specialist,library/agents/research-knowledge/apex-historical-analysis-specialist
policy-research,research-knowledge,apex-policy-research-specialist,library/agents/research-knowledge/apex-policy-research-specialist
technical-writing,research-knowledge,apex-technical-writing-specialist,library/agents/research-knowledge/apex-technical-writing-specialist
decision-memos,research-knowledge,apex-decision-memos-specialist,library/agents/research-knowledge/apex-decision-memos-specialist
