domain,failure_types,group,path
release-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/022-release-engineering
package-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/023-package-management
configuration,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/024-configuration
feature-flags,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/025-feature-flags
multi-tenancy,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/026-multi-tenancy
billing-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/027-billing-systems
identity-access,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/028-identity-access
search-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/029-search-systems
notification-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/030-notification-systems
file-processing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/031-file-processing
browser-automation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,software-engineering,library/failure-playbooks/software-engineering/032-browser-automation
llm-applications,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/033-llm-applications
agent-architecture,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/034-agent-architecture
rag-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/035-rag-systems
embeddings,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/036-embeddings
reranking,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/037-reranking
prompt-engineering,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/038-prompt-engineering
model-evaluation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/039-model-evaluation
model-routing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/040-model-routing
synthetic-data,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/041-synthetic-data
fine-tuning,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/042-fine-tuning
multimodal-ai,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/043-multimodal-ai
vision-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/044-vision-systems
speech-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/045-speech-systems
document-ai,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/046-document-ai
recommendation-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/047-recommendation-systems
forecasting,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,ai-data,library/failure-playbooks/ai-data/048-forecasting
application-security,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/049-application-security
cloud-security,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/050-cloud-security
identity-security,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/051-identity-security
secrets-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/052-secrets-management
threat-modeling,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/053-threat-modeling
incident-response,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/054-incident-response
data-privacy,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/055-data-privacy
prompt-injection,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/056-prompt-injection
supply-chain-security,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/057-supply-chain-security
vulnerability-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/058-vulnerability-management
security-logging,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/059-security-logging
abuse-prevention,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/060-abuse-prevention
fraud-detection,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/061-fraud-detection
payments-security,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/062-payments-security
tenant-isolation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/063-tenant-isolation
secure-deployment,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,security-privacy,library/failure-playbooks/security-privacy/064-secure-deployment
product-strategy,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/065-product-strategy
product-discovery,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/066-product-discovery
user-research,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/067-user-research
ux-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/068-ux-design
design-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/069-design-systems
accessibility,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/070-accessibility
onboarding,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/071-onboarding
activation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/072-activation
retention,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/073-retention
experimentation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/074-experimentation
analytics,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/075-analytics
roadmapping,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/076-roadmapping
pricing-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/077-pricing-design
enterprise-product,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/078-enterprise-product
developer-experience,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/079-developer-experience
content-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,product-design,library/failure-playbooks/product-design/080-content-design
market-research,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/081-market-research
buyer-intelligence,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/082-buyer-intelligence
offer-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/083-offer-design
sales-operations,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/084-sales-operations
outbound-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/085-outbound-systems
inbound-growth,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/086-inbound-growth
partnerships,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/087-partnerships
channels,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/088-channels
seo,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/089-seo
content-marketing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/090-content-marketing
lifecycle-marketing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/091-lifecycle-marketing
customer-success,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/092-customer-success
support-operations,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/093-support-operations
revenue-operations,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/094-revenue-operations
account-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/095-account-management
procurement-sales,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,commercial-growth,library/failure-playbooks/commercial-growth/096-procurement-sales
financial-modeling,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/097-financial-modeling
budgeting,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/098-budgeting
cash-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/099-cash-management
vendor-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/100-vendor-management
procurement,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/101-procurement
risk-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/102-risk-management
business-continuity,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/103-business-continuity
operations-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/104-operations-design
project-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/105-project-management
program-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/106-program-management
knowledge-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/107-knowledge-management
quality-management,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/108-quality-management
hiring-systems,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/109-hiring-systems
people-operations,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/110-people-operations
training,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/111-training
executive-reporting,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,business-operations,library/failure-playbooks/business-operations/112-executive-reporting
contract-preparation,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/113-contract-preparation
privacy-compliance-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/114-privacy-compliance-prep
security-compliance-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/115-security-compliance-prep
tax-research-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/116-tax-research-prep
employment-law-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/117-employment-law-prep
ip-research-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/118-ip-research-prep
regulatory-research-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/119-regulatory-research-prep
vendor-due-diligence,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/120-vendor-due-diligence
data-processing-agreements,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/121-data-processing-agreements
terms-policy-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/122-terms-policy-prep
audit-readiness,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/123-audit-readiness
record-retention,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/124-record-retention
international-expansion-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/125-international-expansion-prep
payments-regulation-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/126-payments-regulation-prep
consumer-protection-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/127-consumer-protection-prep
ai-governance-prep,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,legal-compliance-prep,library/failure-playbooks/legal-compliance-prep/128-ai-governance-prep
web-research,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/129-web-research
scientific-literature,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/130-scientific-literature
competitive-intelligence,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/131-competitive-intelligence
source-verification,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/132-source-verification
evidence-synthesis,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/133-evidence-synthesis
survey-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/134-survey-design
qualitative-analysis,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/135-qualitative-analysis
quantitative-analysis,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/136-quantitative-analysis
knowledge-graphs,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/137-knowledge-graphs
taxonomy-design,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/138-taxonomy-design
document-synthesis,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/139-document-synthesis
fact-checking,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/140-fact-checking
historical-analysis,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/141-historical-analysis
policy-research,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/142-policy-research
technical-writing,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/143-technical-writing
decision-memos,authority-drift partial-completion stale-final-check duplicate-effect evidence-gap unsafe-stop,research-knowledge,library/failure-playbooks/research-knowledge/144-decision-memos
