control_id,domain,group,path,type
016-edge-computing-preventive,edge-computing,software-engineering,library/controls/software-engineering/016-edge-computing-preventive,preventive
016-edge-computing-detective,edge-computing,software-engineering,library/controls/software-engineering/016-edge-computing-detective,detective
017-serverless-preventive,serverless,software-engineering,library/controls/software-engineering/017-serverless-preventive,preventive
017-serverless-detective,serverless,software-engineering,library/controls/software-engineering/017-serverless-detective,detective
018-microservices-preventive,microservices,software-engineering,library/controls/software-engineering/018-microservices-preventive,preventive
018-microservices-detective,microservices,software-engineering,library/controls/software-engineering/018-microservices-detective,detective
019-monolith-modernization-preventive,monolith-modernization,software-engineering,library/controls/software-engineering/019-monolith-modernization-preventive,preventive
019-monolith-modernization-detective,monolith-modernization,software-engineering,library/controls/software-engineering/019-monolith-modernization-detective,detective
020-data-migrations-preventive,data-migrations,software-engineering,library/controls/software-engineering/020-data-migrations-preventive,preventive
020-data-migrations-detective,data-migrations,software-engineering,library/controls/software-engineering/020-data-migrations-detective,detective
021-testing-systems-preventive,testing-systems,software-engineering,library/controls/software-engineering/021-testing-systems-preventive,preventive
021-testing-systems-detective,testing-systems,software-engineering,library/controls/software-engineering/021-testing-systems-detective,detective
022-release-engineering-preventive,release-engineering,software-engineering,library/controls/software-engineering/022-release-engineering-preventive,preventive
022-release-engineering-detective,release-engineering,software-engineering,library/controls/software-engineering/022-release-engineering-detective,detective
023-package-management-preventive,package-management,software-engineering,library/controls/software-engineering/023-package-management-preventive,preventive
023-package-management-detective,package-management,software-engineering,library/controls/software-engineering/023-package-management-detective,detective
024-configuration-preventive,configuration,software-engineering,library/controls/software-engineering/024-configuration-preventive,preventive
024-configuration-detective,configuration,software-engineering,library/controls/software-engineering/024-configuration-detective,detective
025-feature-flags-preventive,feature-flags,software-engineering,library/controls/software-engineering/025-feature-flags-preventive,preventive
025-feature-flags-detective,feature-flags,software-engineering,library/controls/software-engineering/025-feature-flags-detective,detective
026-multi-tenancy-preventive,multi-tenancy,software-engineering,library/controls/software-engineering/026-multi-tenancy-preventive,preventive
026-multi-tenancy-detective,multi-tenancy,software-engineering,library/controls/software-engineering/026-multi-tenancy-detective,detective
027-billing-systems-preventive,billing-systems,software-engineering,library/controls/software-engineering/027-billing-systems-preventive,preventive
027-billing-systems-detective,billing-systems,software-engineering,library/controls/software-engineering/027-billing-systems-detective,detective
028-identity-access-preventive,identity-access,software-engineering,library/controls/software-engineering/028-identity-access-preventive,preventive
028-identity-access-detective,identity-access,software-engineering,library/controls/software-engineering/028-identity-access-detective,detective
029-search-systems-preventive,search-systems,software-engineering,library/controls/software-engineering/029-search-systems-preventive,preventive
029-search-systems-detective,search-systems,software-engineering,library/controls/software-engineering/029-search-systems-detective,detective
030-notification-systems-preventive,notification-systems,software-engineering,library/controls/software-engineering/030-notification-systems-preventive,preventive
030-notification-systems-detective,notification-systems,software-engineering,library/controls/software-engineering/030-notification-systems-detective,detective
031-file-processing-preventive,file-processing,software-engineering,library/controls/software-engineering/031-file-processing-preventive,preventive
031-file-processing-detective,file-processing,software-engineering,library/controls/software-engineering/031-file-processing-detective,detective
032-browser-automation-preventive,browser-automation,software-engineering,library/controls/software-engineering/032-browser-automation-preventive,preventive
032-browser-automation-detective,browser-automation,software-engineering,library/controls/software-engineering/032-browser-automation-detective,detective
033-llm-applications-preventive,llm-applications,ai-data,library/controls/ai-data/033-llm-applications-preventive,preventive
033-llm-applications-detective,llm-applications,ai-data,library/controls/ai-data/033-llm-applications-detective,detective
034-agent-architecture-preventive,agent-architecture,ai-data,library/controls/ai-data/034-agent-architecture-preventive,preventive
034-agent-architecture-detective,agent-architecture,ai-data,library/controls/ai-data/034-agent-architecture-detective,detective
035-rag-systems-preventive,rag-systems,ai-data,library/controls/ai-data/035-rag-systems-preventive,preventive
035-rag-systems-detective,rag-systems,ai-data,library/controls/ai-data/035-rag-systems-detective,detective
036-embeddings-preventive,embeddings,ai-data,library/controls/ai-data/036-embeddings-preventive,preventive
036-embeddings-detective,embeddings,ai-data,library/controls/ai-data/036-embeddings-detective,detective
037-reranking-preventive,reranking,ai-data,library/controls/ai-data/037-reranking-preventive,preventive
037-reranking-detective,reranking,ai-data,library/controls/ai-data/037-reranking-detective,detective
038-prompt-engineering-preventive,prompt-engineering,ai-data,library/controls/ai-data/038-prompt-engineering-preventive,preventive
038-prompt-engineering-detective,prompt-engineering,ai-data,library/controls/ai-data/038-prompt-engineering-detective,detective
039-model-evaluation-preventive,model-evaluation,ai-data,library/controls/ai-data/039-model-evaluation-preventive,preventive
039-model-evaluation-detective,model-evaluation,ai-data,library/controls/ai-data/039-model-evaluation-detective,detective
040-model-routing-preventive,model-routing,ai-data,library/controls/ai-data/040-model-routing-preventive,preventive
040-model-routing-detective,model-routing,ai-data,library/controls/ai-data/040-model-routing-detective,detective
041-synthetic-data-preventive,synthetic-data,ai-data,library/controls/ai-data/041-synthetic-data-preventive,preventive
041-synthetic-data-detective,synthetic-data,ai-data,library/controls/ai-data/041-synthetic-data-detective,detective
042-fine-tuning-preventive,fine-tuning,ai-data,library/controls/ai-data/042-fine-tuning-preventive,preventive
042-fine-tuning-detective,fine-tuning,ai-data,library/controls/ai-data/042-fine-tuning-detective,detective
043-multimodal-ai-preventive,multimodal-ai,ai-data,library/controls/ai-data/043-multimodal-ai-preventive,preventive
043-multimodal-ai-detective,multimodal-ai,ai-data,library/controls/ai-data/043-multimodal-ai-detective,detective
044-vision-systems-preventive,vision-systems,ai-data,library/controls/ai-data/044-vision-systems-preventive,preventive
044-vision-systems-detective,vision-systems,ai-data,library/controls/ai-data/044-vision-systems-detective,detective
045-speech-systems-preventive,speech-systems,ai-data,library/controls/ai-data/045-speech-systems-preventive,preventive
045-speech-systems-detective,speech-systems,ai-data,library/controls/ai-data/045-speech-systems-detective,detective
046-document-ai-preventive,document-ai,ai-data,library/controls/ai-data/046-document-ai-preventive,preventive
046-document-ai-detective,document-ai,ai-data,library/controls/ai-data/046-document-ai-detective,detective
047-recommendation-systems-preventive,recommendation-systems,ai-data,library/controls/ai-data/047-recommendation-systems-preventive,preventive
047-recommendation-systems-detective,recommendation-systems,ai-data,library/controls/ai-data/047-recommendation-systems-detective,detective
048-forecasting-preventive,forecasting,ai-data,library/controls/ai-data/048-forecasting-preventive,preventive
048-forecasting-detective,forecasting,ai-data,library/controls/ai-data/048-forecasting-detective,detective
049-application-security-preventive,application-security,security-privacy,library/controls/security-privacy/049-application-security-preventive,preventive
049-application-security-detective,application-security,security-privacy,library/controls/security-privacy/049-application-security-detective,detective
050-cloud-security-preventive,cloud-security,security-privacy,library/controls/security-privacy/050-cloud-security-preventive,preventive
050-cloud-security-detective,cloud-security,security-privacy,library/controls/security-privacy/050-cloud-security-detective,detective
051-identity-security-preventive,identity-security,security-privacy,library/controls/security-privacy/051-identity-security-preventive,preventive
051-identity-security-detective,identity-security,security-privacy,library/controls/security-privacy/051-identity-security-detective,detective
052-secrets-management-preventive,secrets-management,security-privacy,library/controls/security-privacy/052-secrets-management-preventive,preventive
052-secrets-management-detective,secrets-management,security-privacy,library/controls/security-privacy/052-secrets-management-detective,detective
053-threat-modeling-preventive,threat-modeling,security-privacy,library/controls/security-privacy/053-threat-modeling-preventive,preventive
053-threat-modeling-detective,threat-modeling,security-privacy,library/controls/security-privacy/053-threat-modeling-detective,detective
054-incident-response-preventive,incident-response,security-privacy,library/controls/security-privacy/054-incident-response-preventive,preventive
054-incident-response-detective,incident-response,security-privacy,library/controls/security-privacy/054-incident-response-detective,detective
055-data-privacy-preventive,data-privacy,security-privacy,library/controls/security-privacy/055-data-privacy-preventive,preventive
055-data-privacy-detective,data-privacy,security-privacy,library/controls/security-privacy/055-data-privacy-detective,detective
056-prompt-injection-preventive,prompt-injection,security-privacy,library/controls/security-privacy/056-prompt-injection-preventive,preventive
056-prompt-injection-detective,prompt-injection,security-privacy,library/controls/security-privacy/056-prompt-injection-detective,detective
057-supply-chain-security-preventive,supply-chain-security,security-privacy,library/controls/security-privacy/057-supply-chain-security-preventive,preventive
057-supply-chain-security-detective,supply-chain-security,security-privacy,library/controls/security-privacy/057-supply-chain-security-detective,detective
058-vulnerability-management-preventive,vulnerability-management,security-privacy,library/controls/security-privacy/058-vulnerability-management-preventive,preventive
058-vulnerability-management-detective,vulnerability-management,security-privacy,library/controls/security-privacy/058-vulnerability-management-detective,detective
059-security-logging-preventive,security-logging,security-privacy,library/controls/security-privacy/059-security-logging-preventive,preventive
059-security-logging-detective,security-logging,security-privacy,library/controls/security-privacy/059-security-logging-detective,detective
060-abuse-prevention-preventive,abuse-prevention,security-privacy,library/controls/security-privacy/060-abuse-prevention-preventive,preventive
060-abuse-prevention-detective,abuse-prevention,security-privacy,library/controls/security-privacy/060-abuse-prevention-detective,detective
061-fraud-detection-preventive,fraud-detection,security-privacy,library/controls/security-privacy/061-fraud-detection-preventive,preventive
061-fraud-detection-detective,fraud-detection,security-privacy,library/controls/security-privacy/061-fraud-detection-detective,detective
062-payments-security-preventive,payments-security,security-privacy,library/controls/security-privacy/062-payments-security-preventive,preventive
062-payments-security-detective,payments-security,security-privacy,library/controls/security-privacy/062-payments-security-detective,detective
063-tenant-isolation-preventive,tenant-isolation,security-privacy,library/controls/security-privacy/063-tenant-isolation-preventive,preventive
063-tenant-isolation-detective,tenant-isolation,security-privacy,library/controls/security-privacy/063-tenant-isolation-detective,detective
064-secure-deployment-preventive,secure-deployment,security-privacy,library/controls/security-privacy/064-secure-deployment-preventive,preventive
064-secure-deployment-detective,secure-deployment,security-privacy,library/controls/security-privacy/064-secure-deployment-detective,detective
065-product-strategy-preventive,product-strategy,product-design,library/controls/product-design/065-product-strategy-preventive,preventive
065-product-strategy-detective,product-strategy,product-design,library/controls/product-design/065-product-strategy-detective,detective
066-product-discovery-preventive,product-discovery,product-design,library/controls/product-design/066-product-discovery-preventive,preventive
066-product-discovery-detective,product-discovery,product-design,library/controls/product-design/066-product-discovery-detective,detective
067-user-research-preventive,user-research,product-design,library/controls/product-design/067-user-research-preventive,preventive
067-user-research-detective,user-research,product-design,library/controls/product-design/067-user-research-detective,detective
068-ux-design-preventive,ux-design,product-design,library/controls/product-design/068-ux-design-preventive,preventive
068-ux-design-detective,ux-design,product-design,library/controls/product-design/068-ux-design-detective,detective
069-design-systems-preventive,design-systems,product-design,library/controls/product-design/069-design-systems-preventive,preventive
069-design-systems-detective,design-systems,product-design,library/controls/product-design/069-design-systems-detective,detective
070-accessibility-preventive,accessibility,product-design,library/controls/product-design/070-accessibility-preventive,preventive
070-accessibility-detective,accessibility,product-design,library/controls/product-design/070-accessibility-detective,detective
071-onboarding-preventive,onboarding,product-design,library/controls/product-design/071-onboarding-preventive,preventive
071-onboarding-detective,onboarding,product-design,library/controls/product-design/071-onboarding-detective,detective
072-activation-preventive,activation,product-design,library/controls/product-design/072-activation-preventive,preventive
072-activation-detective,activation,product-design,library/controls/product-design/072-activation-detective,detective
073-retention-preventive,retention,product-design,library/controls/product-design/073-retention-preventive,preventive
073-retention-detective,retention,product-design,library/controls/product-design/073-retention-detective,detective
074-experimentation-preventive,experimentation,product-design,library/controls/product-design/074-experimentation-preventive,preventive
074-experimentation-detective,experimentation,product-design,library/controls/product-design/074-experimentation-detective,detective
075-analytics-preventive,analytics,product-design,library/controls/product-design/075-analytics-preventive,preventive
075-analytics-detective,analytics,product-design,library/controls/product-design/075-analytics-detective,detective
076-roadmapping-preventive,roadmapping,product-design,library/controls/product-design/076-roadmapping-preventive,preventive
076-roadmapping-detective,roadmapping,product-design,library/controls/product-design/076-roadmapping-detective,detective
077-pricing-design-preventive,pricing-design,product-design,library/controls/product-design/077-pricing-design-preventive,preventive
077-pricing-design-detective,pricing-design,product-design,library/controls/product-design/077-pricing-design-detective,detective
078-enterprise-product-preventive,enterprise-product,product-design,library/controls/product-design/078-enterprise-product-preventive,preventive
078-enterprise-product-detective,enterprise-product,product-design,library/controls/product-design/078-enterprise-product-detective,detective
079-developer-experience-preventive,developer-experience,product-design,library/controls/product-design/079-developer-experience-preventive,preventive
079-developer-experience-detective,developer-experience,product-design,library/controls/product-design/079-developer-experience-detective,detective
080-content-design-preventive,content-design,product-design,library/controls/product-design/080-content-design-preventive,preventive
080-content-design-detective,content-design,product-design,library/controls/product-design/080-content-design-detective,detective
081-market-research-preventive,market-research,commercial-growth,library/controls/commercial-growth/081-market-research-preventive,preventive
081-market-research-detective,market-research,commercial-growth,library/controls/commercial-growth/081-market-research-detective,detective
082-buyer-intelligence-preventive,buyer-intelligence,commercial-growth,library/controls/commercial-growth/082-buyer-intelligence-preventive,preventive
082-buyer-intelligence-detective,buyer-intelligence,commercial-growth,library/controls/commercial-growth/082-buyer-intelligence-detective,detective
083-offer-design-preventive,offer-design,commercial-growth,library/controls/commercial-growth/083-offer-design-preventive,preventive
083-offer-design-detective,offer-design,commercial-growth,library/controls/commercial-growth/083-offer-design-detective,detective
084-sales-operations-preventive,sales-operations,commercial-growth,library/controls/commercial-growth/084-sales-operations-preventive,preventive
084-sales-operations-detective,sales-operations,commercial-growth,library/controls/commercial-growth/084-sales-operations-detective,detective
085-outbound-systems-preventive,outbound-systems,commercial-growth,library/controls/commercial-growth/085-outbound-systems-preventive,preventive
085-outbound-systems-detective,outbound-systems,commercial-growth,library/controls/commercial-growth/085-outbound-systems-detective,detective
086-inbound-growth-preventive,inbound-growth,commercial-growth,library/controls/commercial-growth/086-inbound-growth-preventive,preventive
086-inbound-growth-detective,inbound-growth,commercial-growth,library/controls/commercial-growth/086-inbound-growth-detective,detective
087-partnerships-preventive,partnerships,commercial-growth,library/controls/commercial-growth/087-partnerships-preventive,preventive
087-partnerships-detective,partnerships,commercial-growth,library/controls/commercial-growth/087-partnerships-detective,detective
088-channels-preventive,channels,commercial-growth,library/controls/commercial-growth/088-channels-preventive,preventive
088-channels-detective,channels,commercial-growth,library/controls/commercial-growth/088-channels-detective,detective
089-seo-preventive,seo,commercial-growth,library/controls/commercial-growth/089-seo-preventive,preventive
089-seo-detective,seo,commercial-growth,library/controls/commercial-growth/089-seo-detective,detective
090-content-marketing-preventive,content-marketing,commercial-growth,library/controls/commercial-growth/090-content-marketing-preventive,preventive
090-content-marketing-detective,content-marketing,commercial-growth,library/controls/commercial-growth/090-content-marketing-detective,detective
091-lifecycle-marketing-preventive,lifecycle-marketing,commercial-growth,library/controls/commercial-growth/091-lifecycle-marketing-preventive,preventive
091-lifecycle-marketing-detective,lifecycle-marketing,commercial-growth,library/controls/commercial-growth/091-lifecycle-marketing-detective,detective
092-customer-success-preventive,customer-success,commercial-growth,library/controls/commercial-growth/092-customer-success-preventive,preventive
092-customer-success-detective,customer-success,commercial-growth,library/controls/commercial-growth/092-customer-success-detective,detective
093-support-operations-preventive,support-operations,commercial-growth,library/controls/commercial-growth/093-support-operations-preventive,preventive
093-support-operations-detective,support-operations,commercial-growth,library/controls/commercial-growth/093-support-operations-detective,detective
094-revenue-operations-preventive,revenue-operations,commercial-growth,library/controls/commercial-growth/094-revenue-operations-preventive,preventive
094-revenue-operations-detective,revenue-operations,commercial-growth,library/controls/commercial-growth/094-revenue-operations-detective,detective
095-account-management-preventive,account-management,commercial-growth,library/controls/commercial-growth/095-account-management-preventive,preventive
095-account-management-detective,account-management,commercial-growth,library/controls/commercial-growth/095-account-management-detective,detective
096-procurement-sales-preventive,procurement-sales,commercial-growth,library/controls/commercial-growth/096-procurement-sales-preventive,preventive
096-procurement-sales-detective,procurement-sales,commercial-growth,library/controls/commercial-growth/096-procurement-sales-detective,detective
097-financial-modeling-preventive,financial-modeling,business-operations,library/controls/business-operations/097-financial-modeling-preventive,preventive
097-financial-modeling-detective,financial-modeling,business-operations,library/controls/business-operations/097-financial-modeling-detective,detective
098-budgeting-preventive,budgeting,business-operations,library/controls/business-operations/098-budgeting-preventive,preventive
098-budgeting-detective,budgeting,business-operations,library/controls/business-operations/098-budgeting-detective,detective
099-cash-management-preventive,cash-management,business-operations,library/controls/business-operations/099-cash-management-preventive,preventive
099-cash-management-detective,cash-management,business-operations,library/controls/business-operations/099-cash-management-detective,detective
100-vendor-management-preventive,vendor-management,business-operations,library/controls/business-operations/100-vendor-management-preventive,preventive
100-vendor-management-detective,vendor-management,business-operations,library/controls/business-operations/100-vendor-management-detective,detective
101-procurement-preventive,procurement,business-operations,library/controls/business-operations/101-procurement-preventive,preventive
101-procurement-detective,procurement,business-operations,library/controls/business-operations/101-procurement-detective,detective
102-risk-management-preventive,risk-management,business-operations,library/controls/business-operations/102-risk-management-preventive,preventive
102-risk-management-detective,risk-management,business-operations,library/controls/business-operations/102-risk-management-detective,detective
103-business-continuity-preventive,business-continuity,business-operations,library/controls/business-operations/103-business-continuity-preventive,preventive
103-business-continuity-detective,business-continuity,business-operations,library/controls/business-operations/103-business-continuity-detective,detective
104-operations-design-preventive,operations-design,business-operations,library/controls/business-operations/104-operations-design-preventive,preventive
104-operations-design-detective,operations-design,business-operations,library/controls/business-operations/104-operations-design-detective,detective
105-project-management-preventive,project-management,business-operations,library/controls/business-operations/105-project-management-preventive,preventive
105-project-management-detective,project-management,business-operations,library/controls/business-operations/105-project-management-detective,detective
106-program-management-preventive,program-management,business-operations,library/controls/business-operations/106-program-management-preventive,preventive
106-program-management-detective,program-management,business-operations,library/controls/business-operations/106-program-management-detective,detective
107-knowledge-management-preventive,knowledge-management,business-operations,library/controls/business-operations/107-knowledge-management-preventive,preventive
107-knowledge-management-detective,knowledge-management,business-operations,library/controls/business-operations/107-knowledge-management-detective,detective
108-quality-management-preventive,quality-management,business-operations,library/controls/business-operations/108-quality-management-preventive,preventive
108-quality-management-detective,quality-management,business-operations,library/controls/business-operations/108-quality-management-detective,detective
109-hiring-systems-preventive,hiring-systems,business-operations,library/controls/business-operations/109-hiring-systems-preventive,preventive
109-hiring-systems-detective,hiring-systems,business-operations,library/controls/business-operations/109-hiring-systems-detective,detective
110-people-operations-preventive,people-operations,business-operations,library/controls/business-operations/110-people-operations-preventive,preventive
110-people-operations-detective,people-operations,business-operations,library/controls/business-operations/110-people-operations-detective,detective
111-training-preventive,training,business-operations,library/controls/business-operations/111-training-preventive,preventive
111-training-detective,training,business-operations,library/controls/business-operations/111-training-detective,detective
112-executive-reporting-preventive,executive-reporting,business-operations,library/controls/business-operations/112-executive-reporting-preventive,preventive
112-executive-reporting-detective,executive-reporting,business-operations,library/controls/business-operations/112-executive-reporting-detective,detective
113-contract-preparation-preventive,contract-preparation,legal-compliance-prep,library/controls/legal-compliance-prep/113-contract-preparation-preventive,preventive
113-contract-preparation-detective,contract-preparation,legal-compliance-prep,library/controls/legal-compliance-prep/113-contract-preparation-detective,detective
114-privacy-compliance-prep-preventive,privacy-compliance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/114-privacy-compliance-prep-preventive,preventive
114-privacy-compliance-prep-detective,privacy-compliance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/114-privacy-compliance-prep-detective,detective
115-security-compliance-prep-preventive,security-compliance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/115-security-compliance-prep-preventive,preventive
115-security-compliance-prep-detective,security-compliance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/115-security-compliance-prep-detective,detective
116-tax-research-prep-preventive,tax-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/116-tax-research-prep-preventive,preventive
116-tax-research-prep-detective,tax-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/116-tax-research-prep-detective,detective
117-employment-law-prep-preventive,employment-law-prep,legal-compliance-prep,library/controls/legal-compliance-prep/117-employment-law-prep-preventive,preventive
117-employment-law-prep-detective,employment-law-prep,legal-compliance-prep,library/controls/legal-compliance-prep/117-employment-law-prep-detective,detective
118-ip-research-prep-preventive,ip-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/118-ip-research-prep-preventive,preventive
118-ip-research-prep-detective,ip-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/118-ip-research-prep-detective,detective
119-regulatory-research-prep-preventive,regulatory-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/119-regulatory-research-prep-preventive,preventive
119-regulatory-research-prep-detective,regulatory-research-prep,legal-compliance-prep,library/controls/legal-compliance-prep/119-regulatory-research-prep-detective,detective
120-vendor-due-diligence-preventive,vendor-due-diligence,legal-compliance-prep,library/controls/legal-compliance-prep/120-vendor-due-diligence-preventive,preventive
120-vendor-due-diligence-detective,vendor-due-diligence,legal-compliance-prep,library/controls/legal-compliance-prep/120-vendor-due-diligence-detective,detective
121-data-processing-agreements-preventive,data-processing-agreements,legal-compliance-prep,library/controls/legal-compliance-prep/121-data-processing-agreements-preventive,preventive
121-data-processing-agreements-detective,data-processing-agreements,legal-compliance-prep,library/controls/legal-compliance-prep/121-data-processing-agreements-detective,detective
122-terms-policy-prep-preventive,terms-policy-prep,legal-compliance-prep,library/controls/legal-compliance-prep/122-terms-policy-prep-preventive,preventive
122-terms-policy-prep-detective,terms-policy-prep,legal-compliance-prep,library/controls/legal-compliance-prep/122-terms-policy-prep-detective,detective
123-audit-readiness-preventive,audit-readiness,legal-compliance-prep,library/controls/legal-compliance-prep/123-audit-readiness-preventive,preventive
123-audit-readiness-detective,audit-readiness,legal-compliance-prep,library/controls/legal-compliance-prep/123-audit-readiness-detective,detective
124-record-retention-preventive,record-retention,legal-compliance-prep,library/controls/legal-compliance-prep/124-record-retention-preventive,preventive
124-record-retention-detective,record-retention,legal-compliance-prep,library/controls/legal-compliance-prep/124-record-retention-detective,detective
125-international-expansion-prep-preventive,international-expansion-prep,legal-compliance-prep,library/controls/legal-compliance-prep/125-international-expansion-prep-preventive,preventive
125-international-expansion-prep-detective,international-expansion-prep,legal-compliance-prep,library/controls/legal-compliance-prep/125-international-expansion-prep-detective,detective
126-payments-regulation-prep-preventive,payments-regulation-prep,legal-compliance-prep,library/controls/legal-compliance-prep/126-payments-regulation-prep-preventive,preventive
126-payments-regulation-prep-detective,payments-regulation-prep,legal-compliance-prep,library/controls/legal-compliance-prep/126-payments-regulation-prep-detective,detective
127-consumer-protection-prep-preventive,consumer-protection-prep,legal-compliance-prep,library/controls/legal-compliance-prep/127-consumer-protection-prep-preventive,preventive
127-consumer-protection-prep-detective,consumer-protection-prep,legal-compliance-prep,library/controls/legal-compliance-prep/127-consumer-protection-prep-detective,detective
128-ai-governance-prep-preventive,ai-governance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/128-ai-governance-prep-preventive,preventive
128-ai-governance-prep-detective,ai-governance-prep,legal-compliance-prep,library/controls/legal-compliance-prep/128-ai-governance-prep-detective,detective
129-web-research-preventive,web-research,research-knowledge,library/controls/research-knowledge/129-web-research-preventive,preventive
129-web-research-detective,web-research,research-knowledge,library/controls/research-knowledge/129-web-research-detective,detective
130-scientific-literature-preventive,scientific-literature,research-knowledge,library/controls/research-knowledge/130-scientific-literature-preventive,preventive
130-scientific-literature-detective,scientific-literature,research-knowledge,library/controls/research-knowledge/130-scientific-literature-detective,detective
131-competitive-intelligence-preventive,competitive-intelligence,research-knowledge,library/controls/research-knowledge/131-competitive-intelligence-preventive,preventive
131-competitive-intelligence-detective,competitive-intelligence,research-knowledge,library/controls/research-knowledge/131-competitive-intelligence-detective,detective
132-source-verification-preventive,source-verification,research-knowledge,library/controls/research-knowledge/132-source-verification-preventive,preventive
132-source-verification-detective,source-verification,research-knowledge,library/controls/research-knowledge/132-source-verification-detective,detective
133-evidence-synthesis-preventive,evidence-synthesis,research-knowledge,library/controls/research-knowledge/133-evidence-synthesis-preventive,preventive
133-evidence-synthesis-detective,evidence-synthesis,research-knowledge,library/controls/research-knowledge/133-evidence-synthesis-detective,detective
134-survey-design-preventive,survey-design,research-knowledge,library/controls/research-knowledge/134-survey-design-preventive,preventive
134-survey-design-detective,survey-design,research-knowledge,library/controls/research-knowledge/134-survey-design-detective,detective
135-qualitative-analysis-preventive,qualitative-analysis,research-knowledge,library/controls/research-knowledge/135-qualitative-analysis-preventive,preventive
135-qualitative-analysis-detective,qualitative-analysis,research-knowledge,library/controls/research-knowledge/135-qualitative-analysis-detective,detective
136-quantitative-analysis-preventive,quantitative-analysis,research-knowledge,library/controls/research-knowledge/136-quantitative-analysis-preventive,preventive
136-quantitative-analysis-detective,quantitative-analysis,research-knowledge,library/controls/research-knowledge/136-quantitative-analysis-detective,detective
137-knowledge-graphs-preventive,knowledge-graphs,research-knowledge,library/controls/research-knowledge/137-knowledge-graphs-preventive,preventive
137-knowledge-graphs-detective,knowledge-graphs,research-knowledge,library/controls/research-knowledge/137-knowledge-graphs-detective,detective
138-taxonomy-design-preventive,taxonomy-design,research-knowledge,library/controls/research-knowledge/138-taxonomy-design-preventive,preventive
