domain,group,name,path,title
revenue-operations,commercial-growth,build-commercial-system-revenue-operations,library/skills/commercial-growth/build-commercial-system-revenue-operations,Build Commercial System: Revenue Operations
account-management,commercial-growth,verify-demand-account-management,library/skills/commercial-growth/verify-demand-account-management,Verify Demand: Account Management
account-management,commercial-growth,build-commercial-system-account-management,library/skills/commercial-growth/build-commercial-system-account-management,Build Commercial System: Account Management
procurement-sales,commercial-growth,verify-demand-procurement-sales,library/skills/commercial-growth/verify-demand-procurement-sales,Verify Demand: Procurement Sales
procurement-sales,commercial-growth,build-commercial-system-procurement-sales,library/skills/commercial-growth/build-commercial-system-procurement-sales,Build Commercial System: Procurement Sales
financial-modeling,business-operations,model-operation-financial-modeling,library/skills/business-operations/model-operation-financial-modeling,Model Operation: Financial Modeling
financial-modeling,business-operations,build-control-system-financial-modeling,library/skills/business-operations/build-control-system-financial-modeling,Build Control System: Financial Modeling
budgeting,business-operations,model-operation-budgeting,library/skills/business-operations/model-operation-budgeting,Model Operation: Budgeting
budgeting,business-operations,build-control-system-budgeting,library/skills/business-operations/build-control-system-budgeting,Build Control System: Budgeting
cash-management,business-operations,model-operation-cash-management,library/skills/business-operations/model-operation-cash-management,Model Operation: Cash Management
cash-management,business-operations,build-control-system-cash-management,library/skills/business-operations/build-control-system-cash-management,Build Control System: Cash Management
vendor-management,business-operations,model-operation-vendor-management,library/skills/business-operations/model-operation-vendor-management,Model Operation: Vendor Management
vendor-management,business-operations,build-control-system-vendor-management,library/skills/business-operations/build-control-system-vendor-management,Build Control System: Vendor Management
procurement,business-operations,model-operation-procurement,library/skills/business-operations/model-operation-procurement,Model Operation: Procurement
procurement,business-operations,build-control-system-procurement,library/skills/business-operations/build-control-system-procurement,Build Control System: Procurement
risk-management,business-operations,model-operation-risk-management,library/skills/business-operations/model-operation-risk-management,Model Operation: Risk Management
risk-management,business-operations,build-control-system-risk-management,library/skills/business-operations/build-control-system-risk-management,Build Control System: Risk Management
business-continuity,business-operations,model-operation-business-continuity,library/skills/business-operations/model-operation-business-continuity,Model Operation: Business Continuity
business-continuity,business-operations,build-control-system-business-continuity,library/skills/business-operations/build-control-system-business-continuity,Build Control System: Business Continuity
operations-design,business-operations,model-operation-operations-design,library/skills/business-operations/model-operation-operations-design,Model Operation: Operations Design
operations-design,business-operations,build-control-system-operations-design,library/skills/business-operations/build-control-system-operations-design,Build Control System: Operations Design
project-management,business-operations,model-operation-project-management,library/skills/business-operations/model-operation-project-management,Model Operation: Project Management
project-management,business-operations,build-control-system-project-management,library/skills/business-operations/build-control-system-project-management,Build Control System: Project Management
program-management,business-operations,model-operation-program-management,library/skills/business-operations/model-operation-program-management,Model Operation: Program Management
program-management,business-operations,build-control-system-program-management,library/skills/business-operations/build-control-system-program-management,Build Control System: Program Management
knowledge-management,business-operations,model-operation-knowledge-management,library/skills/business-operations/model-operation-knowledge-management,Model Operation: Knowledge Management
knowledge-management,business-operations,build-control-system-knowledge-management,library/skills/business-operations/build-control-system-knowledge-management,Build Control System: Knowledge Management
quality-management,business-operations,model-operation-quality-management,library/skills/business-operations/model-operation-quality-management,Model Operation: Quality Management
quality-management,business-operations,build-control-system-quality-management,library/skills/business-operations/build-control-system-quality-management,Build Control System: Quality Management
hiring-systems,business-operations,model-operation-hiring-systems,library/skills/business-operations/model-operation-hiring-systems,Model Operation: Hiring Systems
hiring-systems,business-operations,build-control-system-hiring-systems,library/skills/business-operations/build-control-system-hiring-systems,Build Control System: Hiring Systems
people-operations,business-operations,model-operation-people-operations,library/skills/business-operations/model-operation-people-operations,Model Operation: People Operations
people-operations,business-operations,build-control-system-people-operations,library/skills/business-operations/build-control-system-people-operations,Build Control System: People Operations
training,business-operations,model-operation-training,library/skills/business-operations/model-operation-training,Model Operation: Training
training,business-operations,build-control-system-training,library/skills/business-operations/build-control-system-training,Build Control System: Training
executive-reporting,business-operations,model-operation-executive-reporting,library/skills/business-operations/model-operation-executive-reporting,Model Operation: Executive Reporting
executive-reporting,business-operations,build-control-system-executive-reporting,library/skills/business-operations/build-control-system-executive-reporting,Build Control System: Executive Reporting
